tconst,averageRating,numVotes
tt0163246,3.4,201
tt0163596,5.1,199
tt0163676,4.6,4580
tt0163745,6.4,656
tt0163764,5.9,258
tt0163978,6.6,235555
tt0163983,5.0,14615
tt0164003,5.9,5415
tt0164052,5.8,130002
tt0164182,8.3,14
tt0164184,6.4,114335
tt0164192,4.6,706
tt0164212,6.5,25387
tt0164318,5.5,322
tt0164334,6.4,84278
tt0164545,3.6,480
tt0164810,6.1,1031
tt0164953,7.0,30
tt0164961,6.4,22060
tt0165361,6.1,6443
tt0165400,3.4,239
tt0165452,3.2,45
tt0165642,3.1,169
tt0165713,6.9,11
tt0165800,3.9,609
tt0165832,7.6,32260
tt0165928,4.4,244
tt0165929,6.1,69974
tt0165982,6.7,53629
tt0166013,6.4,746
tt0166110,4.3,7533
tt0166158,5.6,2371
tt0166186,5.6,67
tt0166192,5.5,217
tt0166276,4.7,17758
tt0166339,7.8,10
tt0166370,4.8,1858
tt0166649,7.0,45
tt0166709,6.9,849
tt0166813,7.1,74120
tt0166871,6.7,130
tt0166924,7.9,347134
tt0167116,6.0,3275
tt0167183,4.7,219
tt0167190,6.8,322860
tt0167203,5.5,4631
tt0167260,9.0,1771915
tt0167261,8.8,1600578
tt0167360,5.4,928
tt0167367,4.5,560
tt0167380,6.5,348
tt0167456,4.2,13835
tt0167936,5.3,32
tt0168446,7.1,3267
tt0168504,5.6,1651
tt0168509,6.2,28
tt0168578,4.5,139
tt0168612,5.1,158
tt0168629,7.9,108362
tt0168631,4.7,615
tt0168714,2.6,25
tt0168786,7.3,35462
tt0168847,6.8,70
tt0168856,6.0,6513
tt0169102,8.1,111858
tt0169122,3.5,467
tt0169324,5.7,802
tt0169543,5.6,743
tt0169579,6.5,41
tt0170008,5.3,153
tt0170016,6.2,239847
tt0170260,5.6,672
tt0170367,5.7,40
tt0170452,5.2,621
tt0170508,6.8,199
tt0170517,6.0,572
tt0170691,7.0,40865
tt0171126,4.8,7
tt0171339,3.3,113
tt0171356,5.6,7448
tt0171359,5.9,9527
tt0171433,6.4,51708
tt0171580,6.3,35100
tt0171827,7.8,83
tt0171928,6.6,1141
tt0172109,1.8,830
tt0172156,6.6,246419
tt0172160,4.6,48
tt0172464,3.0,487
tt0172495,8.5,1449373
tt0172543,7.0,3676
tt0172632,6.5,1585
tt0172699,4.6,236
tt0172794,4.0,421
tt0172949,3.8,81
tt0172995,5.4,205
tt0173498,4.8,316
tt0173568,6.2,373
tt0173716,6.2,15727
tt0173840,6.4,81830
tt0173999,6.7,959
tt0174027,6.4,348
tt0174336,4.4,4161
tt0174480,5.6,26334
tt0174646,6.2,42
tt0174732,6.1,152
tt0175114,7.3,27
tt0175142,6.2,254180
tt0175203,5.8,637
tt0175526,5.2,13522
tt0175557,6.5,363
tt0176185,4.4,295
tt0176244,3.9,451
tt0176578,6.9,14
tt0176579,2.4,480
tt0176650,2.7,514
tt0176694,8.0,905
tt0176783,5.9,16459
tt0176883,5.2,294
tt0177068,5.2,763
tt0177185,3.8,426
tt0177195,4.1,403
tt0177213,7.1,59
tt0177513,5.1,40
tt0177636,5.5,289
tt0177650,5.2,2084
tt0177845,6.2,1308
tt0177858,7.7,21904
tt0177882,6.6,4997
tt0177885,4.5,477
tt0177888,5.9,562
tt0177971,6.4,165417
tt0177997,3.9,348
tt0178043,6.2,1301
tt0178050,5.5,1685
tt0178642,5.5,3067
tt0178655,4.6,295
tt0178866,5.1,71
tt0179098,6.6,14103
tt0179137,7.0,471
tt0179144,6.0,56
tt0179183,4.5,6966
tt0179344,2.6,205
tt0179400,5.8,69
tt0179435,5.3,725
tt0179443,3.5,1081
tt0179473,4.1,1499
tt0179626,6.1,50199
tt0179653,7.0,74
tt0179677,5.0,71
tt0179735,5.4,56
tt0179803,4.9,146
tt0179861,3.5,1175
tt0179987,6.3,78
tt0180052,3.8,25723
tt0180073,7.3,53898
tt0180093,8.3,818757
tt0180273,6.7,259
tt0180679,6.2,1845
tt0180683,5.9,140
tt0180734,6.4,31137
tt0180837,6.3,1810
tt0180894,7.3,131
tt0181151,5.6,9457
tt0181311,5.5,812
tt0181317,5.1,186
tt0181536,7.3,85833
tt0181548,4.3,92
tt0181689,7.7,538941
tt0181739,6.3,35657
tt0181819,5.8,270
tt0181836,5.7,2364
tt0181852,6.3,393416
tt0181865,7.6,205338
tt0181875,7.9,271629
tt0181912,6.2,2827
tt0181945,5.8,137
tt0181984,7.0,52586
tt0182000,5.8,7890
tt0182027,5.9,81
tt0182295,5.9,4649
tt0182508,6.8,3068
tt0183056,6.6,960
tt0183113,5.2,88
tt0183142,2.5,244
tt0183280,3.3,386
tt0183423,3.6,117
tt0183488,6.4,60
tt0183505,6.6,234513
tt0183523,5.6,72991
tt0183550,6.4,567
tt0183639,4.4,163
tt0183649,7.1,264765
tt0183659,7.0,28101
tt0183790,6.9,183768
tt0183808,4.8,578
tt0183869,6.5,55141
tt0183946,5.6,112
tt0184009,6.0,34
tt0184384,6.7,126
tt0184387,7.3,18
tt0184457,4.5,173
tt0184596,6.8,533
tt0184719,6.8,293
tt0184791,6.1,21160
tt0184849,2.6,9
tt0184858,5.8,39753
tt0184894,6.6,125803
tt0184907,5.1,12548
tt0185007,5.0,359
tt0185014,7.2,63986
tt0185170,6.5,40
tt0185183,2.5,79759
tt0185215,6.2,79
tt0185431,5.3,104143
tt0186029,4.8,77
tt0186045,5.7,14500
tt0186151,7.4,106992
tt0186183,6.1,3557
tt0186202,5.5,898
tt0186221,7.8,18
tt0186454,3.7,451
tt0186549,5.4,409
tt0186566,6.5,80232
tt0186589,5.7,14231
tt0186719,4.0,206
tt0186785,7.7,31
tt0186894,5.8,20834
tt0186895,5.7,1128
tt0186975,4.9,15079
tt0187078,6.5,274413
tt0187279,3.5,719
tt0187387,5.0,137
tt0187393,7.2,269871
tt0187474,5.9,669
tt0187512,5.0,5604
tt0187559,5.9,842
tt0187696,6.0,13144
tt0187738,6.7,213857
tt0187750,4.7,363
tt0187761,5.0,115
tt0187847,6.6,43
tt0187880,5.6,152
tt0188045,5.4,291
tt0188055,5.3,2244
tt0188128,6.6,1292
tt0188135,5.4,396
tt0188160,6.1,865
tt0188453,6.0,25443
tt0188490,6.6,84
tt0188518,5.8,845
tt0188575,5.4,79
tt0188613,6.3,77
tt0188688,4.5,153
tt0189192,5.7,19141
tt0189456,4.3,3468
tt0189509,5.4,172
tt0189541,4.9,1587
tt0189856,6.3,20
tt0189960,5.6,92
tt0189998,6.9,41729
tt0190052,4.1,127
tt0190138,6.7,119765
tt0190273,4.9,233
tt0190332,7.9,265187
tt0190346,5.7,1027
tt0190374,3.6,33281
tt0190398,4.9,219
tt0190449,6.2,87
tt0190524,4.3,9660
tt0190590,7.7,305723
tt0190736,4.2,596
tt0190861,6.6,7815
tt0190865,5.9,61339
tt0190938,5.4,984
tt0190975,6.0,258
tt0190994,4.5,144
tt0191037,5.6,2269
tt0191074,5.2,3325
tt0191133,5.5,7147
tt0191161,6.7,110
tt0191177,5.2,87
tt0191211,5.3,51
tt0191242,5.1,612
tt0191352,6.1,61
tt0191397,6.6,63945
tt0191476,6.0,140
tt0191636,7.1,5547
tt0191754,6.0,48972
tt0191787,5.7,78
tt0191865,6.1,59
tt0191996,6.1,4073
tt0192023,6.3,2437
tt0192071,5.7,18936
tt0192110,7.8,39
tt0192111,5.4,14537
tt0192126,4.1,612
tt0192237,6.8,139
tt0192255,5.7,10452
tt0192295,5.7,612
tt0192346,6.7,62
tt0192407,4.3,1482
tt0192455,4.7,3767
tt0192528,4.1,111
tt0192614,5.6,32195
tt0192678,5.2,171
tt0192719,4.7,673
tt0192731,4.3,17393
tt0192788,6.4,1235
tt0192789,6.6,24
tt0192912,4.1,116
tt0192947,7.5,50
tt0192949,5.6,1736
tt0193011,5.2,51
tt0193135,5.5,192
tt0193318,3.1,718
tt0193364,4.6,8444
tt0193365,7.2,28
tt0193537,3.8,107
tt0193545,5.7,191
tt0193560,5.2,6005
tt0193598,6.5,22
tt0193701,6.2,492
tt0193741,5.9,1289
tt0193854,6.2,2304
tt0193859,4.4,89
tt0194026,5.6,560
tt0194027,5.5,304
tt0194104,7.0,2903
tt0194143,4.8,743
tt0194218,6.7,8457
tt0194368,6.0,4087
tt0194410,4.2,412
tt0194519,6.8,368
tt0194704,6.8,38
tt0194811,7.1,39
tt0194852,6.3,116
tt0195001,6.7,820
tt0195108,7.3,8
tt0195119,6.0,95
tt0195234,6.9,18442
tt0195308,4.3,364
tt0195352,6.1,117
